name,city,sector
I-AM Associates İstanbul Mimarlık Tasarım İnşaat Sanayi ve Ticaret A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Doğanlar Mobilya Grubu İmalat Sanayi ve Ticaret Anonim Şirketi - Çanakkale,Çanakkale,Mobilya
Onka Elektrik Malzemeleri Sanayi ve Ticaret Anonim Şirketi,Kocaeli,İmalat Sanayi
Seger Ses ve Elektrikli Gereçler Sanayi Anonim Şirketi,Bursa,Otomotiv
Kalyon İnşaat San. ve Tic. A.Ş.,İstanbul,İnşaat
Bozdağ Film Yapım Prodüksiyon Reklam İnşaat Turizm Sanayi Ticaret Anonim Şirketi,İstanbul,Medya ve İletişim
Dokuteks Halı Tekstil Sanayi ve Ticaret Anonim Şirketi,Gaziantep,Tekstil
Önder Grup Makine İthalat İhracat Sanayi ve Ticaret Anonim Şirketi,Manisa,Makine ve Teçhizat İmalatı
Dagi Giyim Sanayi ve Ticaret A.Ş.,İstanbul,Tekstil
KM Kümsan Vinç Sistemleri Sanayi ve Ticaret Anonim Şirketi,Kocaeli,Makine ve Teçhizat İmalatı
KY Mimarlık İnşaat Sanayi ve Ticaret Limited Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
KNS Otomotiv Sanayi ve Ticaret Anonim Şirketi,Sakarya,Otomotiv Yan Sanayi
Canray Ulaşım Sistemleri Anonim Şirketi,Bursa,İmalat Sanayi
ZKLD Aydınlatma Tasarım ve Ticaret Anonim Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Şara Enerji İnşaat Ticaret ve Sanayi A. Ş.,Ankara,İmalat Sanayi
Hidkom Mühendislik Mümessillik Taahhüt Makina San. Tic. Ltd. Şti.,Bursa,İmalat Sanayi
Göker İş Makinaları Sanayi ve Ticaret Anonim Şirketi,Ankara,İmalat Sanayi
İston İstanbul Beton Elemanları ve Hazır Beton Fabrikaları Sanayi ve Ticaret A.Ş.,İstanbul,İnşaat
Kaft Tasarım Tekstil Sanayi ve Ticaret Anonim Şirketi,İstanbul,Tekstil
Pilotcar Otomotiv San. ve Tic. A.Ş.,Bursa,Otomotiv
U.K. Cast Seramik Kalıp Döküm Tek. Araş. Gel. Mak. İmal. San. ve Tic. Ltd. Şti.,İzmir,Seramik ve Refrakter
Tigloos Games Teknoloji ve Yazılım Pazarlama A.Ş.,İstanbul,Yazılım
Aspilsan Enerji Sanayi ve Tic. A.Ş.,Kayseri,Elektronik
Tamsan Bağlantı Elemanları Yedek Parça ve Makine Ekipmanları Turizm İnşaat Sanayi ve Ticaret A.Ş.,Kocaeli,Makine ve Teçhizat İmalatı
Yazaki Systems Technologies Turkey Otomotiv Sanayi ve Ticaret Limited Şirketi,Bursa,Otomotiv
Almila Mobilya A.Ş.,Kayseri,Mobilya
Avrasya Taahhüt Lojistik A.Ş. Torbalı Şubesi,İzmir,Mobilya
Pimeks Alüminyum Pvc ve Metal San. Tic. A.Ş.,Ankara,İnşaat
Gizia Moda Tekstil Sanayi ve Dış Ticaret Limited Şirketi,İstanbul,Tekstil
Dinex Egzoz ve Emisyon Teknolojileri Sanayi ve Ticaret Anonim Şirketi,Tekirdağ,Otomotiv
Dzine Tasarım Danışmanlık Sanayi ve Limited Şirketi,Ankara,Mühendislik/Mimarlık Faaliyetleri
Omurga Mimarlık İnş. Rest. ve Planlama San.Tic. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Autoban Mimarlık İnş. Taah. Tic. A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
FB Dış Ticaret Anonim Şirketi,İzmir,Konfeksiyon ve Hazır Giyim
Vestel Ticaret A.Ş.,Manisa,Dayanıklı Tüketim Malları
Çelsan Ziraat Aletleri Sanayi ve Ticaret Anonim Şirketi Manisa Osb Şubesi,Manisa,Tarım
Segula Technologies Turkey Mühendislik Anonim Şirketi Bursa Şubesi,Bursa,Mühendislik/Mimarlık Faaliyetleri
Feltouch Yapı Tasarım San Tic A.Ş.,İstanbul,Tekstil
Tusaş Motor Sanayii Anonim Şirketi Kartal Şubesi,İstanbul,Havacılık
Gürok Turizm ve Madencilik Anonim Şirketi,Kütahya,Cam ve Cam Ürünleri
Ekinler Endüstri Sanayi ve Ticaret Anonim Şirketi,Manisa,İmalat Sanayi
Çgs Çetinkaya Giyim San ve Tic A.Ş.,İstanbul,Tekstil
Yalın Tan İç Mimarlık Tasarım Uygulama Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Tezmaksan Robot ve Otomasyon Teknolojileri Sanayi Ticaret Anonim Şirket,İstanbul,İmalat Sanayi
Tibet Makina Sanayi ve Ticaret A.Ş.,İzmir,İmalat Sanayi
Putzmeister Makine San. Tic. A.Ş.,Tekirdağ,İmalat Sanayi
Teknopro Mühendislik ve Endüstri Tesisleri Üretimi A.Ş.,Yalova,İmalat Sanayi
EHM Mağazacılık Sanayi ve Ticaret Anonim Şirketi,İstanbul,Perakendecilik
S.İ.F.F. Elektromekanik San. ve Tic. Ltd. Şti.,Bursa,Makine ve Teçhizat İmalatı
Betapak Makine A.Ş,İstanbul,Makine ve Teçhizat İmalatı
Escuturco Elektrik Sanayi ve Ticaret A.Ş.,İstanbul,İmalat Sanayi
Conrad Mühendislik Sanayi ve Ticaret Limited Şirketi,İstanbul,Elektronik
Döktaş Dökümcülük Ticaret ve Sanayi A.Ş. Manisa Jant Döküm Tesisleri Şubesi,Manisa,Dökümcülük
Arkipod Tasarım Sanayi Tic.Ltd.Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Frea Mimarlık Limited Şirketi,Ankara,Mühendislik/Mimarlık Faaliyetleri
Aksan Kalıp Sanayi ve Ticaret Anonim Şirketi,İstanbul,İmalat Sanayi
İntem Triko Sanayi ve Ticaret Anonim Şirketi,İstanbul,Tekstil
Aydın Pelin-Can Binzet Müşavir Mühendislik A.Ş.,Ankara,Mühendislik/Mimarlık Faaliyetleri
Orsav Ordu Savunma Sanayi Yatırımları A.Ş. Ulubey Şubesi,Ordu,Savunma Sanayi
Klisef İnşaat Makina Havalandırma Sanayi Ticaret Limited Şirketi,Ankara,İklimlendirme
Çelikiş Dişli Otomotiv Sanayi Ve Ticaret A.ş.,İzmir,Otomotiv Yan Sanayi
Atölye Kostüm Tekstil Sanayi ve Ticaret Anonim Şirketi,İstanbul,Tekstil
Arken Jeneratör Anonim Şirketi,İstanbul,Enerji
Otm Plastik Otomotiv Yan San. Ve Tic. Ltd. Şti.,Bursa,Otomotiv Yan Sanayi
Doqu Ev Tekstili Sanayi ve Ticaret Anonim Şirketi,Kayseri,Tekstil
Eureka Yachts Turizm Ticaret Anonim Şirketi,İstanbul,Denizcilik
Bestimage Reklam Tanıtım ve Danışmanlık Anonim Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
